,incident_id,date,state,city,address,num_killed,num_injured,latitude,location_description,longitude,n_guns_involved,pre_teens_involved,adults_involved,total_victims,total_suspects,males,females,gun_type
2,478855,01/01/2013,Ohio,Lorain,1776 East 28th Street,1,3,41.4455,Cotton Club,-82.1377,2.0,0,5,3,2,5,0,Unknown
15,479573,02/02/2013,Tennessee,Memphis,2514 Mount Moriah,0,5,35.0803,Club Venue,-89.8871,1.0,0,1,5,1,0,6,Handgun
20,480327,02/11/2013,Delaware,Wilmington,500 North King Street,3,2,39.7407,New Castle County courthouse,-75.5499,1.0,0,2,4,1,3,2,45 Auto
33,481237,03/10/2013,Missouri,Kansas City,9331 Hillcrest Rd,0,5,38.955,Tropical Palms Restaurant Club,-94.5211,1.0,0,3,5,1,2,1,Unknown
34,482771,03/11/2013,District of Columbia,Washington,1200 North Capitol Street,0,13,38.9062,Tyler House,-77.0099,4.0,0,2,3,4,7,0,9mm
36,482856,3/13/2013,New York,Mohawk,17 W Main St,6,2,43.011,John's Barber Shop,-75.0058,1.0,1,6,7,0,6,0,Shotgun
54,484333,4/21/2013,Washington,Federal Way,33300 block of 18th Lane South,5,0,47.303,Pinewood Village Apartments,-122.31,2.0,0,5,4,1,4,1,40 SW
62,485979,4/28/2013,Tennessee,Jackson,438 East Main Street,2,2,35.6141,Wolfe Enterprises,-88.815,2.0,0,6,4,3,6,0,9mm
65,486027,05/04/2013,North Carolina,Smithfield,150 South Equity Drive,0,4,35.5076,N&N Sports Bar & Grill,-78.3221,1.0,0,1,4,1,2,2,Unknown
83,486623,5/23/2013,Tennessee,Bean Station,1034 Main Street,2,2,36.3474,Down Home Pharmacy,-83.2849,1.0,0,3,4,1,3,2,Unknown
95,489581,06/07/2013,California,Santa Monica,2036 Yorkshire Ave,6,1,34.026,Santa Monica College,-118.461,2.0,0,7,6,1,4,3,223 Rem [AR-15]
100,487833,6/15/2013,Tennessee,Nashville,135 Brinkhaven Ave,0,4,36.1646,Brinkhaven Apartments,-86.7771,1.0,0,2,4,1,1,4,Unknown
116,490048,6/27/2013,California,Three Rivers,39553-39833 Sierra Dr,2,2,36.4144,Cobble Knoll Recreation Area,-118.925,1.0,0,5,4,2,5,1,Unknown
135,490943,07/12/2013,California,San Francisco,3192 16th St,1,3,37.7649,Double Dutch,-122.423,1.0,0,4,4,0,4,0,Handgun
146,491181,7/20/2013,New York,Brooklyn,Grove Street,0,5,40.6962,Hope Ballfield,-73.9178,1.0,0,6,5,1,4,2,9mm
151,491265,7/26/2013,Florida,Hialeah,1485 W 46th St,7,0,25.864,Todel Apartments,-80.3122,1.0,0,6,6,1,4,3,9mm
158,491473,08/04/2013,California,Salinas,624 Williams Road,3,4,36.6799,Tacos Choice,-121.606,1.0,0,3,7,0,6,1,45 Auto
160,964573,08/05/2013,Pennsylvania,Philadelphia,5100 Parrish St,1,0,39.9669,West Mill Creek Playground,-75.2229,1.0,0,1,1,1,2,0,Unknown
176,491965,8/19/2013,Illinois,Chicago,1011 W. Wilson,1,4,41.9653,Uptown Baptist Church,-87.6557,1.0,0,1,5,1,6,0,7.62 [AK-47]
187,479774,09/11/2013,New York,New York,204 Varick St,0,4,40.7283,Sounds of Brazil,-74.0048,1.0,0,0,4,0,3,1,Unknown
190,479821,9/14/2013,North Carolina,Marion,80 Finley Road,0,4,35.6864,Vortex Marion,-82.0201,1.0,0,1,4,1,1,0,40 SW
194,480366,9/16/2013,District of Columbia,Washington Navy Yard,1336 Isaac Hull Ave,11,3,38.873,NAVSEA Building 197,-76.9977,2.0,0,7,7,0,4,3,9mm
200,480521,9/19/2013,Illinois,Chicago,1809 W 50th St,0,12,41.803,Cornell Square Park,-87.6699,1.0,1,4,7,0,6,1,7.62 [AK-47]
207,480691,9/24/2013,West Virginia,Huntington,300 W 7th Ave,0,6,38.4136,Northcott Court,-82.4609,2.0,0,7,6,1,7,0,Handgun
209,480720,9/27/2013,Ohio,Zanesville,753 Putnam Ave,0,4,39.9272,Hoppy's Bar,-82.0073,1.0,0,1,4,1,3,2,Handgun
219,481029,10/12/2013,Oklahoma,Tulsa,12000 E 31st St,0,5,36.1189,Green Country Event Center,-95.8429,1.0,0,2,5,2,2,0,Handgun
246,964576,11/22/2013,Pennsylvania,Philadelphia,5100 Parrish St,0,1,39.9669,West Mill Creek Playground,-75.2229,1.0,0,2,1,1,2,0,Unknown
271,496634,12/26/2013,Louisiana,Slidell,2144 First St,2,6,30.2743,Shooters Socialbar,-89.7826,1.0,0,2,7,0,3,0,40 SW
710,94427,01/03/2014,Delaware,Wilmington,1511 Philadelphia Pike,0,0,39.7844,Holly Oak Methodist Church,-75.479,1.0,0,1,1,1,1,1,Unknown
1242,94082,01/08/2014,California,Los Angeles,1010 E Cesar E Chavez Ave,0,1,34.0535,La Zona Rosa,-118.225,1.0,0,1,1,0,1,0,Unknown
1245,94092,01/08/2014,New Jersey,Atlantic City,201 N Pennsylvania Ave,1,1,39.3676,Pennsylvania Avenue School,-74.4268,1.0,0,0,2,1,3,0,Unknown
1513,94654,01/10/2014,Michigan,Warren,26300 Dequindre Road,0,0,42.4855,Victory Suites,-83.0848,1.0,0,0,1,1,2,0,Unknown
1691,95487,01/11/2014,Texas,San Angelo,1218 Martin Luther King Blvd,2,1,31.4719,Richard's Lounge,-100.448,1.0,0,4,3,1,4,0,Unknown
1792,95500,01/12/2014,Louisiana,Tallulah,3600 block of Highway 80 W,0,6,32.3986,103 Klub,-91.1579,1.0,0,1,6,1,1,0,Unknown
1944,95823,1/13/2014,Arizona,Tucson,6616 E Grant Rd,0,0,32.2487,Taco Bell,-110.851,1.0,0,0,0,1,0,1,Unknown
1986,96155,1/13/2014,Virginia,Henrico,6900 Wilkinson Rd,0,0,37.6214,Wilder Middle School,-77.4258,1.0,0,0,0,1,1,0,Unknown
2490,97472,1/16/2014,Florida,Saint Petersburg,1401 62nd Ave. S,0,1,27.7122,Lake Vista Park,-82.6524,1.0,0,0,1,1,2,0,Unknown
2876,112347,1/18/2014,Texas,Colmesneil,Co Rd 3725,2,0,30.9749,Mt Carmel Baptist Church,-94.264,2.0,0,2,2,2,2,2,Unknown
2931,98319,1/19/2014,Florida,Fort Walton Beach,521 Mary Esther Cut Off NW,0,0,30.424,Chevron Gas Station,-86.6478,1.0,0,1,1,1,1,0,Unknown
3400,100069,1/22/2014,Illinois,Urbana,1821 Philo Road,0,0,40.0965,Circle K,-88.1908,1.0,0,0,1,1,1,0,Handgun
3412,100219,1/22/2014,Missouri,Florissant,15875 New Halls Ferry Rd,0,0,38.8294,Hazlewood Central HS,-90.3121,2.0,0,0,0,4,0,0,Unknown
3543,101805,1/23/2014,Missouri,Poplar Bluff,1694 MO 53,0,0,36.7275,American Computer Center,-90.3876,1.0,0,1,1,1,1,0,Unknown
4400,102087,1/30/2014,Florida,Palm Bay,250 Community College Parkway Southeast,0,1,27.9934,Eastern Florida State College,-80.631,1.0,0,3,2,1,3,0,Unknown
4985,103521,02/03/2014,Vermont,Barre,296 Quarry Hill Rd,0,0,44.1748,Quarry Hill Quick Stop,-72.4912,1.0,0,0,0,1,1,0,Shotgun
5503,105041,02/07/2014,Oregon,Bend,230 NE 6th St,1,0,44.0526,Bend Senior High School,-121.297,1.0,0,0,1,0,1,0,Unknown
5727,105780,02/09/2014,Alaska,Fairbanks,30 College Road,0,0,64.8553,Safeway,-147.714,2.0,0,3,2,3,5,0,Unknown
6430,107806,2/16/2014,Louisiana,Crowley,100 Kathy Meadows Ln,0,2,30.2297,Kathy & Meadows Apartment Complex,-92.3814,1.0,0,0,2,1,2,0,22 LR
6587,107984,2/18/2014,Michigan,Ann Arbor,1400 block of Oak Valley Dr,0,0,42.236,Valley Ranch Apartments,-83.7579,1.0,0,1,1,1,2,0,Unknown
7845,699283,03/01/2014,Illinois,Elmwood Park,7420 W Fullerton Ave,0,0,41.9235,Elmwood Park Police Training Center,-87.8125,2.0,0,0,0,0,0,0,0:Unknown
8360,112941,03/07/2014,North Carolina,Kernersville,508 E Mountain St,0,0,36.1165,East Mountain Sweepstakes,-80.0664,1.0,0,0,0,0,0,0,0:Unknown
8682,113477,03/10/2014,Texas,Houston,10411 North Freeway,0,0,29.9177,Chase Bank,-95.4153,1.0,0,0,0,0,0,0,0:Unknown
8687,113499,03/10/2014,Tennessee,Lewisburg,2300 Springplace Road,0,0,35.3932,Kangaroo Mart,-86.7444,1.0,0,0,0,0,0,0,0:Unknown
8906,526859,03/11/2014,Texas,San Angelo,330 West Washington Avenue,0,0,31.4526,Desiree's Nightclub,-100.439,1.0,0,0,0,0,0,0,0:Unknown
9129,114929,3/14/2014,Florida,Daytona Beach,801 Dr. Mary McLeod Bethune Blvd.,1,1,29.2093,VIP Barbershop,-81.0358,1.0,0,0,0,0,0,0,0:40 SW
9797,116924,3/19/2014,Washington,Seattle,15th Avenue and SW Roxbury Street,1,0,47.5174,Roxbury Texaco,-122.354,1.0,0,0,0,0,0,0,0:Unknown
9808,117212,3/19/2014,Colorado,Aurora,13001 E 17th Pl,1,0,39.7426,Anschutz Medical Center,-104.84,1.0,0,0,0,0,0,0,0:Unknown
10206,118552,3/22/2014,Missouri,Kansas City,E 110th St,0,0,38.9254,Ruskin Heights neighborhood,-94.502,1.0,0,0,0,0,0,0,0:Unknown
10452,118920,3/24/2014,Arkansas,Bald Knob,115 US-167,0,1,35.3288,Exxon,-91.562,1.0,0,0,0,0,0,0,0:Unknown
10495,118367,3/25/2014,Ohio,Canton,3319 Harmont Ave NE,0,0,40.8322,Broasters Chicken,-81.3275,1.0,0,0,0,0,0,0,0:Unknown
10641,118740,3/26/2014,California,Hayward,20450 Royal Ave,0,0,37.6689,East Bay Arts HS,-122.115,1.0,0,0,0,0,0,0,0:9mm
10792,119343,3/27/2014,Georgia,Marietta,1275 Cunningham Road,1,0,33.9218,Pointes of Marietta,-84.5781,1.0,0,0,0,0,0,0,0:Unknown
10977,120909,3/28/2014,Ohio,Akron,3885 W Market St,0,1,41.1359,Mustard Seed Market & Cafe,-81.6389,1.0,0,0,0,0,0,0,0:Unknown
11990,123817,04/05/2014,North Carolina,Edenton,1102 N Broad St,0,0,36.0735,Famous Subs,-76.5991,1.0,0,2,0,2,2,0,Unknown
12719,124581,04/11/2014,West Virginia,Bluefield,2020 College Ave,0,0,37.2467,First Century Bank,-81.2417,1.0,0,0,1,1,0,1,Unknown
12957,124980,4/13/2014,Michigan,Bay City,6907 West Side Saginaw Road,0,1,43.5397,Junior's Hookah Lounge,-83.964,1.0,0,1,1,0,1,0,Unknown
13613,126560,4/18/2014,Texas,Spring,5639 Treaschwig Rd,0,0,30.0449,Chase Bank,-95.3472,1.0,0,0,0,2,2,0,Unknown
13615,126572,4/18/2014,New Jersey,Elizabeth,645 Amboy Avenue,0,0,40.638,Bayway Scrap Metal,-74.2022,1.0,0,4,3,4,6,1,22 LR
13618,126596,4/18/2014,Ohio,Dayton,262 Lorenz Ave,1,0,39.7571,Smiths Superette,-84.2352,1.0,0,2,1,1,2,0,45 Auto
14918,710061,4/27/2014,North Carolina,Tabor City,108 Tabor Crossing Shopping Ctr,1,0,34.1387,Hills Food Store,-78.8679,1.0,0,2,1,1,2,0,Unknown
15079,130722,4/29/2014,Florida,Hollywood,890 N Federal Hwy,0,0,26.0185,Circle K,-80.1434,1.0,0,0,0,1,1,0,Unknown
16045,132668,05/07/2014,Arizona,Tucson,8702 E Speedway,0,1,32.2162,Circle K,-110.971,1.0,0,1,1,1,2,0,Unknown
16220,133656,05/08/2014,Indiana,Crothersville,Hwy 39,0,1,38.7969,Grassy Fork River Bridge,-85.9535,1.0,0,0,1,2,3,0,Unknown
17648,184112,5/18/2014,Texas,Dallas,2375 International Pkwy,0,0,32.8982,Dallas/Ft Worth Intl Airport (DFW),-97.0404,1.0,0,0,0,0,0,0,Unknown
18234,137911,5/23/2014,Arizona,Coolidge,859 E Randolph Rd,1,0,32.9229,Coolidge Generating Station,-111.55,1.0,0,1,0,1,1,0,Handgun
18873,139753,5/27/2014,Ohio,Hamersville,130 Ohio 125,1,0,38.9208,Hamersville Village Office,-83.9873,1.0,0,1,1,0,1,0,Handgun
18881,139867,5/27/2014,Arizona,Payson,303 S. Ash Street,1,0,34.2379,Pinecrest Apartments,-111.325,1.0,2,0,1,1,2,0,Unknown
19070,140846,5/28/2014,North Carolina,Winterville,715 Thomas Langston Rd,0,1,35.561,Waffle House,-77.4064,1.0,0,2,1,2,2,0,Unknown
19478,141463,5/31/2014,Texas,Houston,14099 Northwest Fwy,0,0,29.857,McDonald's,-95.5207,1.0,0,0,1,4,4,0,38 Spl
20031,184533,06/03/2014,Texas,Dallas,2375 International Pkwy,0,0,32.8982,Dallas/Ft Worth Intl Airport (DFW),-97.0404,1.0,0,0,0,0,0,0,Unknown
20293,143641,06/05/2014,Arkansas,El Dorado,1309 Craig St,1,0,33.2117,Ur Way Auto Sales,-92.6609,1.0,0,2,1,1,2,0,Unknown
21888,150824,6/16/2014,South Carolina,Anderson,1003 Pearman Dairy Rd,0,0,34.5207,Shell,-82.6929,1.0,0,0,1,1,1,0,Unknown
22314,154651,6/19/2014,Florida,Miami,3101 NW 54th St,0,0,25.824,Primos Convenience Store,-80.2471,1.0,0,0,1,4,4,0,Unknown
22429,150275,6/20/2014,South Carolina,Fort Mill,3725 Avenue of the Carolinas,0,1,35.0961,Comfort Inn,-80.937,1.0,0,0,2,0,2,0,Unknown
22597,151957,6/21/2014,Florida,Saint Cloud,325 Rosedale Ave,0,0,28.2547,Jade Isle Mobile Home Park,-81.2612,1.0,0,1,1,1,1,1,Unknown
22921,154171,6/23/2014,Pennsylvania,Telford,702 PA-113,0,0,40.316,First Niagara Bank,-75.3111,1.0,0,0,1,1,1,0,Handgun
23610,152235,6/28/2014,Pennsylvania,Hummelstown,100 block of Hershey Road,0,1,40.298,Quality Inn & Suites Hershey,-76.6849,1.0,0,1,1,1,1,1,Unknown
23668,153466,6/28/2014,Mississippi,Durant,31290 Highway 12 West,0,1,33.0934,Sayle Truck Stop,-89.8892,1.0,0,2,1,1,2,0,Unknown
24209,154050,07/02/2014,California,Fresno,E Church and S Orange,0,0,36.7141,TNT Fireworks stand,-119.764,1.0,0,0,1,2,2,0,Unknown
25275,157458,07/08/2014,New Jersey,Trenton ,1901 Greenwood Avenue,0,0,40.2285,Family Dollar Store,-74.727,1.0,0,0,0,1,1,0,Unknown
25483,162849,07/09/2014,California,Gerber,Gyle Rd and State Hwy 99W,1,0,40.0057,Crossroads Market,-122.172,1.0,0,1,1,1,2,0,Unknown
25488,164920,07/09/2014,Pennsylvania,Chambersburg,1891 Philadelphia Ave,0,0,39.9576,Fuel Up gas station,-77.6436,1.0,0,0,0,2,2,0,Unknown
25511,156912,07/10/2014,Utah,West Jordan,7037 Plaza Center Dr,0,1,40.6211,Jordan Landing shopping complex,-111.979,1.0,0,1,0,1,1,0,Unknown
26127,165572,7/13/2014,Florida,Lady Lake,Griffin View Drive,1,0,28.909,165572,-81.8901,1.0,0,1,1,0,1,0,Unknown
26270,159939,7/14/2014,Rhode Island,Warwick,20 Jefferson Blvd,0,0,41.753,Motel 6,-71.4356,1.0,0,1,0,1,1,0,Unknown
26953,168595,7/18/2014,Oklahoma,Tulsa,4404 S 109th E Ave,0,0,36.1006,Tower Crossing Apts,-95.8567,1.0,0,0,2,2,3,1,Unknown
28559,165181,7/28/2014,Ohio,Maumee,2422 S Holland Sylvania Rd,0,0,41.5977,Co-op Toledo Credit Union,-83.689,1.0,0,0,1,1,1,0,Unknown
29482,168121,08/02/2014,Alabama,Phenix City,1800 Lakewood Dr,1,1,32.4868,Carriage Hill Apartments,-85.0156,1.0,0,0,1,1,1,1,Unknown
30285,176810,08/06/2014,Massachusetts,Taunton,306 Winthrop St,0,0,41.8888,Subway,-71.1214,1.0,0,0,1,1,1,0,Rifle
31430,176711,8/13/2014,Virginia,Spotsylvania,6500 Jefferson Davis Hwy,0,0,38.1359,Dollar General,-77.5227,1.0,0,1,1,1,1,0,Unknown
31641,174997,8/15/2014,Georgia,Augusta ,4400 Wheeler Rd,1,1,33.4878,Marvin United Methodist Church,-82.134,1.0,0,3,2,1,2,1,357 Mag
31980,175712,8/17/2014,Ohio,Grove City,3200 Broadway,0,0,39.8987,Subway,-83.0794,1.0,0,0,1,1,1,0,Unknown
33726,548919,8/26/2014,Louisiana,Bogalusa,Louisiana 21,0,1,30.7617,Sportsman Inn Motel,-89.8478,1.0,1,1,3,3,4,1,40 SW
34895,185335,09/03/2014,Ohio,Cincinnati,3850 Virginia Ct,0,0,39.163,Oakdale Elementary School,-84.6366,1.0,1,0,0,1,1,0,Unknown
35331,192891,09/05/2014,Texas,Irving,2625 International Pkwy,0,0,32.8881,DFW Int'l Airport,-97.0374,1.0,0,0,0,0,0,0,44 Mag
35391,186952,09/06/2014,Michigan,Ypsilanti,5840 W Michigan Ave,0,0,42.2047,Vallero Gas Station,-83.6877,1.0,0,0,1,1,1,0,Unknown
35433,187301,09/06/2014,Missouri,Wentzville,42 West Hwy N,0,2,38.7741,Mobil Gas Station,-90.8656,1.0,0,3,3,1,2,2,Unknown
35843,189654,09/08/2014,Massachusetts,Mansfield,510 East Street,1,0,42.0345,Mansfield Fish and Game Protective Association,-71.1933,1.0,0,1,1,0,1,0,Unknown
36260,189355,09/11/2014,North Carolina,High Point,274 Eastchester Drive,0,0,35.9826,Dollar General,-80.018,1.0,0,2,1,2,2,0,Unknown
36903,192186,9/14/2014,New Jersey,Blackwood,832 N Black Horse Pk,0,0,39.8137,Howard Johnson Express Inn,-75.0687,1.0,0,1,0,1,1,0,Unknown
37844,194442,9/20/2014,Texas,San Marcos,700 block of N LBJ Dr,0,1,29.892,Gotta Habit Smoke Shop,-97.9405,1.0,0,1,1,1,2,0,Unknown
38363,201359,9/23/2014,Pennsylvania,Pottsville,2 Caroline Ave,0,0,40.7135,Ken's Guns and Ammo,-76.1836,1.0,0,0,0,3,2,1,Unknown
39044,200546,9/27/2014,Texas,Dallas,2375 International Pkwy,0,0,32.8982,Dallas/Ft Worth Intl Airport (DFW),-97.0404,1.0,0,0,0,0,0,0,Shotgun
39046,201279,9/27/2014,Florida,Lake Worth,3585 Lake Worth Rd #1,0,0,26.6178,Speedy's New and Used Tires,-80.0988,1.0,0,0,0,1,1,0,Unknown
39846,200871,10/02/2014,Louisiana,Breaux Bridge,I 10,0,1,30.3447,Atchafalaya Basin Bridge,-91.7146,1.0,0,1,1,1,1,0,Unknown
40314,202239,10/05/2014,Georgia,Albany,1009 Clark Ave,0,0,31.5801,Triple Diamond Lounge,-84.1316,1.0,0,0,0,1,1,0,Unknown
40461,202854,10/06/2014,Pennsylvania,Lewisburg,4775 Westbranch Hwy,0,0,40.946,Comfort Suites,-76.8831,1.0,0,0,0,0,0,0,Unknown
41027,204025,10/10/2014,District of Columbia,Washington,1400 block of Good Hope Road SE,1,0,38.8669,Kutt-N-Up,-76.9849,1.0,0,2,1,1,2,0,Unknown
41443,204727,10/13/2014,Michigan,Benton Harbor,2215 Pipestone Rd,0,0,42.0778,Primart Gas Station,-86.4161,1.0,0,0,1,1,1,0,Unknown
43312,211017,10/24/2014,South Carolina,Yemassee,698 Kings Hwy,0,1,32.6326,Marathon Gas Station,-80.8737,1.0,0,1,1,0,1,0,9mm
43916,215292,10/27/2014,Alabama,Birmingham ,133 Bessemer Super Hwy,0,0,33.4562,Subway,-86.9216,1.0,0,1,1,1,1,0,40 SW
43958,212319,10/28/2014,West Virginia,Josephine,Coal City Rd,0,0,37.6353,C.J.'s Hotspot,-81.2382,1.0,0,0,1,2,3,0,40 SW
44715,215630,11/02/2014,Alabama,Marion,201 AL-14,0,0,32.6298,Junior Food Mart,-87.3186,1.0,0,2,1,1,2,0,22 LR
46936,222710,11/19/2014,Pennsylvania,Wilkes Barre,7 N River St,0,1,41.2783,Family Dollar Plaza,-75.8567,1.0,0,0,1,1,2,0,40 SW
47228,225609,11/21/2014,Minnesota,Saint Paul,4300 Glumack Dr,0,0,44.882,MSP Int'l Airport,-93.205,1.0,0,0,0,0,0,0,Unknown
47308,224151,11/22/2014,Missouri,Florissant,11824 W Florissant Ave,1,0,38.7808,Cuetopia Billiards & Sports Bar,-90.2783,1.0,0,1,1,3,4,0,Unknown
48277,671799,11/30/2014,Missouri,Springfield,3905 West Chestnut Expressway,0,0,37.2127,Star Mart,-93.3582,1.0,0,1,0,1,1,0,22 LR
48359,227279,12/01/2014,Florida,Orlando ,2722 N Pine Hills Rd,0,2,28.5793,Winn-Dixie grocery store,-81.4516,1.0,0,0,2,0,2,0,32 Auto
48682,260217,12/04/2014,California,Fresno,6573 N Blackstone Ave,0,0,36.8331,Fresno Firearms Ltd.,-119.79,13.0,0,0,0,0,0,0,Unknown
48787,260535,12/05/2014,New York,Buffalo,4200 Genessee St,0,0,42.9393,BUF Int'l Airport,-78.7352,1.0,0,0,0,1,1,0,12 gauge
48813,262864,12/05/2014,Texas,Dallas,2375 International Pkwy,0,0,32.8982,Dallas/Ft Worth Intl Airport (DFW),-97.0404,1.0,0,0,0,0,0,0,22 LR
49042,260977,12/07/2014,California,Oakland,9800 block of Springfield St,1,0,37.7489,(San Leandro),-122.161,1.0,0,1,0,1,0,1,Unknown
49069,262932,12/07/2014,Minnesota,Saint Paul,4300 Glumack Dr,0,0,44.882,MSP Int'l Airport,-93.205,1.0,0,0,0,0,0,0,Unknown
49191,262957,12/08/2014,Texas,Dallas,2375 International Pkwy,0,0,32.8982,Dallas/Ft Worth Intl Airport (DFW),-97.0404,1.0,0,0,0,0,0,0,20 gauge
49192,262961,12/08/2014,Florida,Eglin Afb,1701 FL-85,0,0,30.4936,VPS Airport,-86.5497,1.0,0,0,0,0,0,0,Unknown
49228,261181,12/09/2014,Michigan,Redford Charter Township,10010 Telegraph Rd,0,1,42.3685,Hilltop Motel,-83.2749,1.0,0,0,1,1,1,1,Handgun
49305,263077,12/09/2014,Texas,Dallas,2375 International Pkwy,0,0,32.8982,Dallas/Ft Worth Intl Airport (DFW),-97.0404,1.0,0,0,0,0,0,0,Handgun
49536,285461,12/11/2014,Indiana,Anderson,1107 E 24th St,0,0,40.0923,Gunslingers Gun Shop,-85.6657,10.0,0,0,0,0,0,0,Handgun
49550,262202,12/12/2014,Oregon,Portland,717 North Killingsworth Court,0,4,45.562,Rosemary Anderson High School,-122.674,1.0,0,3,4,3,5,2,Unknown
49594,262704,12/12/2014,Texas,Houston,15719 I-45,1,0,29.9954,Movie Tavern,-95.4266,1.0,0,1,1,1,2,0,Unknown
49739,263250,12/13/2014,New York,Rochester,900 E Main St,0,1,43.161,Rochester Main Street Armory,-77.5893,1.0,0,1,1,0,1,0,Handgun
49923,265930,12/14/2014,Illinois,Lovejoy ,307 Jefferson St,0,1,38.657,Bottoms Up,-90.1685,1.0,0,1,1,1,2,0,40 SW
50007,264489,12/15/2014,Arizona,Mesa,4104 E Broadway Rd,0,1,33.4291,Argenta Apartments,-111.846,1.0,0,1,0,1,1,0,45 Auto
50201,264607,12/17/2014,Washington,Tacoma,2425 96th St S,2,0,47.1703,Woodmark Apartments,-122.47,1.0,0,2,1,1,2,0,Rifle
50204,264646,12/17/2014,Texas,Eddy,9823 S Interstate Hwy 35,0,1,31.2846,KCEN-TV studio,-97.2581,1.0,0,0,1,1,2,0,Unknown
50317,267740,12/17/2014,Minnesota,Saint Paul,4300 Glumack Dr,0,0,44.882,MSP Int'l Airport,-93.205,1.0,0,0,0,0,0,0,Unknown
50372,265704,12/18/2014,South Carolina,Beaufort,350 State Rd S-7-86,0,0,32.4525,China Wok,-80.7698,1.0,0,0,0,1,1,0,Unknown
50404,266822,12/18/2014,Massachusetts,Methuen,70 East St,0,0,42.7285,Holy Family Hospital,-71.1683,1.0,0,1,0,1,1,0,Unknown
50519,266830,12/19/2014,Arkansas,Camden,1137 W. Washington,1,0,33.5753,Mac's Fresh Market,-92.8362,1.0,0,3,1,2,3,0,380 Auto
50568,858211,12/19/2014,Illinois,Chicago,E 79th St and S Vincennes Ave,1,0,41.7498,Greater Grand Crossing neighborhood,-87.6344,1.0,0,2,1,1,2,0,Handgun
50596,266390,12/20/2014,Virginia,Woodbridge,4300 block of Dale Blvd,0,1,38.6471,Center Plaza Shopping Center,-77.3379,1.0,0,1,1,0,1,0,Unknown
50661,268099,12/20/2014,Texas,Euless,3929 FM 157,1,1,32.8199,Stiletto's Caberet,-97.1003,2.0,0,3,2,1,3,0,Shotgun
50688,373313,12/20/2014,New York,Hicksville,358 N Broadway,0,0,40.7735,Broadway Mall,-73.5314,1.0,0,1,0,1,1,0,20 gauge
50778,267579,12/21/2014,Texas,Denton,1541 Meadow St.,2,2,33.1977,CastleRock Apartments,-97.1333,2.0,0,6,2,4,6,0,Unknown
50920,268406,12/22/2014,West Virginia,Putnam County,U.S. 60 and Browns Creek Road,0,1,38.3995,Kelly Junkyard,-81.8997,1.0,0,1,1,1,2,0,Unknown
51054,269061,12/23/2014,Ohio,Youngstown,685 McCartney Rd,0,0,41.09,Burger King,-80.5917,1.0,0,1,0,1,1,0,45 Auto
51093,452451,12/23/2014,Idaho,Meridian,195 E. Central Drive,0,0,43.597,McDonald's,-116.393,1.0,0,1,0,1,1,0,Unknown
51291,515307,12/25/2014,Pennsylvania,Hazleton,133 N Wyoming St,0,0,40.9572,Bobâ€™s Sporting Goods,-75.9723,4.0,0,1,0,1,1,0,Unknown
51414,272992,12/26/2014,Texas,Dallas,2375 International Pkwy,0,0,32.8982,Dallas/Ft Worth Intl Airport (DFW),-97.0404,1.0,0,0,0,0,0,0,Handgun
52456,283446,01/02/2015,New Jersey,Cliffside Park,495 Anderson Avenue,0,0,40.8224,A.K. Macagna Funeral Home,-73.9901,1.0,0,0,0,1,0,0,Handgun
52709,791126,01/04/2015,California,San Francisco,630 Valencia St,1,0,37.7621,Mission Station,-122.422,1.0,0,1,0,1,1,0,357 Mag
52799,277288,01/05/2015,Texas,Dallas,2375 International Pkwy,0,0,32.8982,Dallas/Ft Worth Intl Airport (DFW),-97.0404,1.0,0,0,0,0,0,0,Unknown
52938,274901,01/07/2015,Texas,Freeport,310 Yaupon,1,0,28.9554,Garden Villas Apts,-95.3697,1.0,0,1,0,1,1,0,380 Auto
53042,275405,01/08/2015,Texas,Houston,202 Little York,3,0,29.87,Immaculate Auto Sales,-95.3826,1.0,0,4,3,1,4,0,Unknown
53124,276697,01/08/2015,Texas,Lubbock,215 50th St,0,0,33.5481,Gebo's,-101.836,15.0,0,2,0,2,2,0,Handgun
53322,276829,01/10/2015,Indiana,Jeffersonville,4423 Highway 31 E,1,0,38.3213,Crest Motel,-85.7515,1.0,0,1,0,1,1,0,Unknown
53421,277226,01/11/2015,California,Oakland,3612 Webster St,1,0,37.8237,Mosswood Park Performing Arts Center,-122.262,1.0,0,1,1,0,1,0,Unknown
53616,278090,1/13/2015,Kentucky,Prospect,9505 US 42,0,0,38.3439,La Petite Academy,-85.6186,1.0,0,0,0,1,1,0,Handgun
53714,278294,1/14/2015,Minnesota,Saint Paul,261 E. University Avenue,1,0,44.9588,Valley Hi-Rise,-93.0987,1.0,0,1,0,1,1,0,45 Auto
53826,281121,1/14/2015,Texas,Dallas,2375 International Pkwy,0,0,32.8982,Dallas/Ft Worth Int'l (DFW),-97.0404,1.0,0,0,0,0,0,0,Unknown
53843,278705,1/15/2015,Texas,Spring,6135 Fm 2920 Rd,0,0,30.0732,Jet Pawn 2920,-95.5168,30.0,0,0,0,3,3,0,Handgun
53989,279168,1/16/2015,Texas,Houston,12810 Gulf Freeway,1,0,29.6135,Bombshells,-95.2145,1.0,0,1,0,1,1,0,Unknown
54160,280043,1/17/2015,Florida,Fort Pierce,500 block Seaway Dr,1,0,27.4592,South Causeway Park,-80.3159,1.0,0,1,1,0,1,0,Unknown
